dqn,date,km,moto
10PH751,2/19/2026,56.91,0
10PH751,2/20/2026,75.51,0
10PH751,2/21/2026,0,0
10PH751,2/22/2026,0,0
10PH751,2/23/2026,0,0
99JE632,2/2/2026,56.56,0
99JE632,2/3/2026,56,0
99JE632,2/4/2026,127.73,0
99JE632,2/5/2026,115.71,0
99JE632,2/6/2026,85.21,0
99JE632,2/7/2026,114.25,0
99JE632,2/9/2026,8.13,0
99JE632,2/10/2026,34.41,0
99JE632,2/11/2026,140.3,0
99JE632,2/12/2026,32.88,0
99JE632,2/13/2026,124.53,0
99JE632,2/14/2026,120.06,0
99JE632,2/16/2026,6.29,0
99JE632,2/17/2026,0.06,0
99JE632,2/18/2026,0,0
99JE632,2/19/2026,0,0
99JE632,2/20/2026,6.42,0
99JE632,2/21/2026,122.69,0
10JB900,2/1/2026,0,0
10JB900,2/2/2026,104.29,0
10JB900,2/3/2026,82.91,0
10JB900,2/4/2026,116.45,0
10JB900,2/5/2026,51.08,0
10JB900,2/6/2026,59.21,0
10JB900,2/7/2026,0,0
10JB900,2/8/2026,2.23,0
10JB900,2/9/2026,148.48,0
10JB900,2/10/2026,46.55,0
10JB900,2/11/2026,67.11,0
10JB900,2/12/2026,58.23,0
10JB900,2/13/2026,47.74,0
10JB900,2/14/2026,0,0
10JB900,2/15/2026,0,0
10JB900,2/16/2026,86.96,0
10JB900,2/17/2026,48.7,0
10JB900,2/18/2026,72.28,0
10JB900,2/19/2026,87.1,0
10JB900,2/20/2026,40.5,0
10JB900,2/21/2026,0,0
10JB900,2/22/2026,0,0
10JB900,2/23/2026,13.16,0
10PH073,2/1/2026,0,0
10PH073,2/2/2026,86.54,0
10PH073,2/3/2026,116.14,0
10PH073,2/4/2026,109.95,0
10PH073,2/5/2026,190.62,0
10PH073,2/6/2026,140.77,0
10PH073,2/7/2026,0,0
10PH073,2/8/2026,0,0
10PH073,2/9/2026,108.71,0
10PH073,2/10/2026,189.6,0
10PH073,2/11/2026,174.26,0
10PH073,2/12/2026,117.65,0
10PH073,2/13/2026,141.66,0
10PH073,2/14/2026,0,0
10PH073,2/15/2026,0,0
10PH073,2/16/2026,152.67,0
10PH073,2/17/2026,96.18,0
10PH073,2/18/2026,109.64,0
10PH073,2/19/2026,203.59,0
10PH073,2/20/2026,106.88,0
10PH073,2/21/2026,0,0
10PH073,2/22/2026,0,0
10PH073,2/23/2026,0,0
10PH146,2/1/2026,0,0
10PH146,2/2/2026,81.24,0
10PH146,2/3/2026,88.89,0
10PH146,2/4/2026,62.23,0
10PH146,2/5/2026,47.04,0
10PH146,2/6/2026,49.8,0
10PH146,2/7/2026,0,0
10PH146,2/8/2026,0,0
10PH146,2/9/2026,65.14,0
10PH146,2/10/2026,76.87,0
10PH146,2/11/2026,40.61,0
10PH146,2/12/2026,75.54,0
10PH146,2/13/2026,61.48,0
10PH146,2/14/2026,0,0
10PH146,2/15/2026,0,0
10PH146,2/16/2026,230.56,0
10PH146,2/17/2026,123.17,0
10PH146,2/18/2026,182.2,0
10PH146,2/19/2026,119.35,0
10PH146,2/20/2026,186.98,0
10PH146,2/21/2026,0,0
10PH146,2/22/2026,0,0
10PH146,2/23/2026,0,0
10PE687,2/1/2026,0,0
10PE687,2/2/2026,101.17,0
10PE687,2/3/2026,79.63,0
10PE687,2/4/2026,58.4,0
10PE687,2/5/2026,67.95,0
10PE687,2/6/2026,67.36,0
10PE687,2/7/2026,0,0
10PE687,2/8/2026,0,0
10PE687,2/9/2026,114.58,0
10PE687,2/10/2026,78.54,0
10PE687,2/11/2026,69.81,0
10PE687,2/12/2026,76.23,0
10PE687,2/13/2026,107.12,0
10PE687,2/14/2026,0,0
10PE687,2/15/2026,0,0
10PE687,2/16/2026,84.43,0
10PE687,2/17/2026,107.66,0
10PE687,2/18/2026,66.54,0
10PE687,2/19/2026,87.62,0
10PE687,2/20/2026,84.8,0
10PE687,2/21/2026,0,0
10PE687,2/22/2026,0,0
10PE687,2/23/2026,0,0
10PE688,2/1/2026,0,0
10PE688,2/2/2026,110.43,0
10PE688,2/3/2026,91.97,0
10PE688,2/4/2026,101.95,0
10PE688,2/5/2026,26.54,0
10PE688,2/6/2026,94.44,0
10PE688,2/7/2026,0,0
10PE688,2/8/2026,0,0
10PE688,2/9/2026,489.71,0
10PE688,2/10/2026,104.62,0
10PE688,2/11/2026,129.79,0
10PE688,2/12/2026,443.12,0
10PE688,2/13/2026,0.58,0
10PE688,2/14/2026,0,0
10PE688,2/15/2026,0,0
10PE688,2/16/2026,141.02,0
10PE688,2/17/2026,94.31,0
10PE688,2/18/2026,118.59,0
10PE688,2/19/2026,87.44,0
10PE688,2/20/2026,105.91,0
